rule_id,rule_name,trigger_type,growth_stage,condition_expr,advice_text,advice_type,source_id,evidence_id,evidence_level,version,is_active
R-M-002,苗期中耕培土促根,生育期提醒,苗期,growth_stage == '苗期',【苗期管理】建议适时中耕培土，促进大豆根系生长和吸水吸肥；播后及时深松放寒，提高土壤通透性和温度。,提示,HLJ-001,EV-009,A,1.0,1
R-M-003,秋季促早熟管理,生育期提醒,鼓粒-成熟期,"growth_stage in ('鼓粒期','成熟期') AND region_risk == '秋季防旱'",【促早熟提醒】黑龙江2026年秋季气温略高、降水略少，需关注秋旱并加强促早熟管理，避免贪青晚熟影响产量和品质。,提示,HLJ-001,EV-009,A,1.0,1
R-M-004,除草封闭处理,生育期提醒,播后苗前,growth_stage == '播后苗前',【除草提醒】播种后应及时喷施封闭除草剂，选用高效低残留品种；苗期根据草情补喷茎叶除草剂。注意前茬除草剂残留对大豆的影响，坚决杜绝残留药害。,提示,HLJ-001,EV-008,A,1.0,1
R-N-001,播种前根瘤菌接种提醒,生育期提醒,播种前,growth_stage == '播种前',【根瘤菌接种】播种前务必完成根瘤菌拌种/包衣，在大豆播种前12小时内操作，阴凉处避光进行，可与0.05-0.1%钼酸铵混合拌种以促进固氮。接种器具若用过农药需清洗3次以上。,处方,HLJ-001;MOA-001,EV-003;EV-016;EV-019,A,1.0,1
R-N-002,苗期根瘤活性检查,生育期提醒,V1-R1,growth_stage == 'V1-R1' AND is_first_soybean_field == True,【根瘤菌核查】建议在开花前（R1之前）挖取根系检查根瘤数量及活性（切开应为粉红色）。若根瘤少或颜色异常，说明固氮能力不足，可在开花期或鼓粒期适量追施氮肥弥补。,提示,EXT-001,EV-021,B,1.0,1
R-N-003,根瘤菌菌剂选用与接种操作规范,生育期提醒,播种前,growth_stage == '播种前',"【根瘤菌接种操作规范】选用已取得农业农村部登记、符合GB 20287标准的根瘤菌菌剂。
液体菌剂：播前2小时内拌种，避免阳光直射，随拌随播。
固体包衣型：与粘合剂混合包裹种子，阴凉处晾干后播种。
注意：接种后不得与杀菌剂混用；如需使用杀菌剂种衣剂，须先完成包衣晾干后再接种根瘤菌。",处方,HLJ-006;HLJ-005,EV-035;EV-028,A,1.0,1
R-P-001,根腐病风险种子处理,纯规则,播种期,"field_type in ('低洼易涝','苗弱') OR region in ('北部','东部')",【病害预防】根腐病风险地块（低洼、北部东部雨多地区），建议使用精甲霜灵·咯菌腈种衣剂包衣；若为新型镰孢菌根腐病发生区，需加入三氟吡啶胺。精甲霜灵·咯菌腈+噻虫嗪可兼防地下害虫、早期蓟马。,处方,HLJ-001,EV-004,A,1.0,1
R-P-002,食心虫防治,生育期提醒,结荚期,"growth_stage == '结荚期' AND pest_alert in ('食心虫','轻偏中')",【虫害防治提醒】当前处于结荚期，食心虫发生风险期。可选用氯虫苯甲酰胺、甲维盐或高效氯氟氰菊酯等药剂喷雾防治，同时兼防其他食叶类害虫。请关注雷瘿蚊等新发害虫动态。,提示,HLJ-001,EV-005,A,1.0,1
R-P-003,绿色防控优先原则,纯规则,全生育期,always,【防控原则】贯彻'预防为主、综合防治'方针，优先使用生态调控、生物防治等非化学防控手段。化学农药应轮换不同作用机理品种，提倡'一喷多防'，减少防治次数和用药量。,提示,HLJ-003,EV-015,A,1.0,1
R-W-001,低洼地块排水提醒,纯规则,苗期-全生育期,field_type == '低洼' OR precipitation_excess == True,【排水警告】低洼地块或近期降水偏多，请及时清沟排水，防止田间积水造成涝害。大豆对涝害敏感，苗期尤甚，积水超过24小时将严重影响产量。,处方,HLJ-001;FAO-001,EV-006;EV-025,A,1.0,1
R-W-002,花期鼓粒期干旱灌溉,纯规则,花期-鼓粒期,"growth_stage in ('花期','结荚期','鼓粒期') AND drought_risk == True",【灌溉建议】当前处于大豆水分最敏感时期（花期至鼓粒期）。若发生干旱，落花落荚风险大，建议优先在盛花末期（见小荚时）实施补灌，其次为鼓粒初期。,提示,HLJ-001;FAO-001,EV-006;EV-024;EV-026,A,1.0,1
